科目コード,科目名,大分類,中分類,表示順
111,現金,流動資産,現金及び預金,1
130,南都普通,流動資産,現金及び預金,2
131,ＪＡ普通,流動資産,現金及び預金,3
171,前払費用,流動資産,その他流動資産,4
174,仮払金,流動資産,その他流動資産,5
176,未収入金,流動資産,その他流動資産,6
210,建物,固定資産,有形固定資産,7
214,車輌運搬具,固定資産,有形固定資産,8
215,工具器具備品,固定資産,有形固定資産,9
216,山林,固定資産,有形固定資産,10
217,土地,固定資産,有形固定資産,11
240,出資金,固定資産,投資その他資産,12
241,長期預け金,固定資産,投資その他資産,13
242,長期前払費用,固定資産,投資その他資産,14
312,買掛金,流動負債,流動負債,15
314,短期借入金,流動負債,流動負債,16
317,未払金,流動負債,流動負債,17
318,未払費用,流動負債,流動負債,18
321,住民税預り金,流動負債,流動負債,19
323,預り金,流動負債,流動負債,20
327,未払法人税,流動負債,流動負債,21
329,未払消費税,流動負債,流動負債,22
340,長期借入金,固定負債,固定負債,23
341,長期未払金,固定負債,固定負債,24
370,資本金,純資産,資本,25
380,資本準備金,純資産,資本,26
381,利益準備金,純資産,資本,27
390,別途積立金,純資産,資本,28
920,期首繰越利益剰余金,純資産,利益剰余金,29
